%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
334214000000,104,334214000000,world,0.0999136488992,0.000928510594489,-0.00577349998772,1.10662484092e-05,-0.000124263165148,-2.07695545408e-05,0.999999992002
334249000000,105,334248000000,world,0.0998612714803,0.000926557473876,-0.00577789108942,1.08829042635e-05,-0.000120698501656,-2.09973169127e-05,0.999999992436
334281000000,106,334281000000,world,0.0998612714803,0.000926557473876,-0.00577789108942,1.08829042635e-05,-0.000120698501656,-2.09973169127e-05,0.999999992436
334314000000,107,334314000000,world,0.0998756946697,0.000928616714364,-0.005776945938,1.0679911952e-05,-0.000116902010501,-2.11436632636e-05,0.999999992886
334349000000,108,334349000000,world,0.0998756946697,0.000928616714364,-0.005776945938,1.0679911952e-05,-0.000116902010501,-2.11436632636e-05,0.999999992886
334382000000,109,334382000000,world,0.0998756946697,0.000928616714364,-0.005776945938,1.0679911952e-05,-0.000116902010501,-2.11436632636e-05,0.999999992886
334415000000,110,334414000000,world,0.0998000658888,0.000922860241577,-0.00577204019889,1.04944777854e-05,-0.000113921525196,-2.13009025117e-05,0.999999993229
334448000000,111,334448000000,world,0.0998000658888,0.000922860241577,-0.00577204019889,1.04944777854e-05,-0.000113921525196,-2.13009025117e-05,0.999999993229
334482000000,112,334482000000,world,0.0998000658888,0.000922860241577,-0.00577204019889,1.04944777854e-05,-0.000113921525196,-2.13009025117e-05,0.999999993229
334514000000,113,334514000000,world,0.0998000658888,0.000922860241577,-0.00577204019889,1.04944777854e-05,-0.000113921525196,-2.13009025117e-05,0.999999993229
334548000000,114,334548000000,world,0.0996185269033,0.000910352202414,-0.00577726628951,1.04164817291e-05,-0.000112215696457,-2.15495081281e-05,0.999999993417
334581000000,115,334581000000,world,0.0996185269033,0.000910352202414,-0.00577726628951,1.04164817291e-05,-0.000112215696457,-2.15495081281e-05,0.999999993417
334614000000,116,334614000000,world,0.0996185269033,0.000910352202414,-0.00577726628951,1.04164817291e-05,-0.000112215696457,-2.15495081281e-05,0.999999993417
334648000000,117,334648000000,world,0.099549389748,0.000904823419618,-0.00577195766373,1.01747532988e-05,-0.000109205162578,-2.16801282534e-05,0.99999999375
334681000000,118,334681000000,world,0.099549389748,0.000904823419618,-0.00577195766373,1.01747532988e-05,-0.000109205162578,-2.16801282534e-05,0.99999999375
334714000000,119,334714000000,world,0.099549389748,0.000904823419618,-0.00577195766373,1.01747532988e-05,-0.000109205162578,-2.16801282534e-05,0.99999999375
334748000000,120,334748000000,world,0.0994671607687,0.000898349662373,-0.00576621896444,9.96550233168e-06,-0.000106469926985,-2.1803903553e-05,0.999999994045
334781000000,121,334781000000,world,0.0994671607687,0.000898349662373,-0.00576621896444,9.96550233168e-06,-0.000106469926985,-2.1803903553e-05,0.999999994045
334814000000,122,334814000000,world,0.0994671607687,0.000898349662373,-0.00576621896444,9.96550233168e-06,-0.000106469926985,-2.1803903553e-05,0.999999994045
334848000000,123,334848000000,world,0.0993891501222,0.000892323678744,-0.00575857692298,9.71353497609e-06,-0.000103680412731,-2.19112668251e-05,0.999999994338
334881000000,124,334881000000,world,0.0993891501222,0.000892323678744,-0.00575857692298,9.71353497609e-06,-0.000103680412731,-2.19112668251e-05,0.999999994338
334915000000,125,334914000000,world,0.0993891501222,0.000892323678744,-0.00575857692298,9.71353497609e-06,-0.000103680412731,-2.19112668251e-05,0.999999994338
334948000000,126,334948000000,world,0.0993147769909,0.000886623264768,-0.0057492360394,9.43897251937e-06,-0.000100873110318,-2.20014779223e-05,0.999999994626
334981000000,127,334981000000,world,0.0993147769909,0.000886623264768,-0.0057492360394,9.43897251937e-06,-0.000100873110318,-2.20014779223e-05,0.999999994626
335014000000,128,335014000000,world,0.0992421762395,0.000881356381251,-0.00573878598367,9.15464286766e-06,-9.81215621308e-05,-2.20898795029e-05,0.9999999949
335048000000,129,335048000000,world,0.0992421762395,0.000881356381251,-0.00573878598367,9.15464286766e-06,-9.81215621308e-05,-2.20898795029e-05,0.9999999949
335082000000,130,335082000000,world,0.0992421762395,0.000881356381251,-0.00573878598367,9.15464286766e-06,-9.81215621308e-05,-2.20898795029e-05,0.9999999949
335114000000,131,335114000000,world,0.0992421762395,0.000881356381251,-0.00573878598367,9.15464286766e-06,-9.81215621308e-05,-2.20898795029e-05,0.9999999949
335148000000,132,335148000000,world,0.0991728593774,0.000876704152332,-0.00572698483389,8.84915836585e-06,-9.53848647893e-05,-2.21686812867e-05,0.999999995166
335181000000,133,335181000000,world,0.0991728593774,0.000876704152332,-0.00572698483389,8.84915836585e-06,-9.53848647893e-05,-2.21686812867e-05,0.999999995166
335214000000,134,335214000000,world,0.0991728593774,0.000876704152332,-0.00572698483389,8.84915836585e-06,-9.53848647893e-05,-2.21686812867e-05,0.999999995166
335248000000,135,335248000000,world,0.0991061129156,0.000872726439602,-0.00571392750843,8.52772465437e-06,-9.26840860082e-05,-2.22412179045e-05,0.999999995421
335282000000,136,335282000000,world,0.0991061129156,0.000872726439602,-0.00571392750843,8.52772465437e-06,-9.26840860082e-05,-2.22412179045e-05,0.999999995421
335314000000,137,335314000000,world,0.0991061129156,0.000872726439602,-0.00571392750843,8.52772465437e-06,-9.26840860082e-05,-2.22412179045e-05,0.999999995421
335348000000,138,335348000000,world,0.0990568719333,0.000871008248951,-0.00569877661254,8.12999563748e-06,-8.979208498e-05,-2.22982329273e-05,0.999999995687
