%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
341907000000,577,341907000000,base_link,-0.0258814319968,-0.00282758986577,0.44441357255,0.0105142293657,-0.0237872610322,0.000734279718121
341939000000,578,341939000000,base_link,-0.0237156786025,-0.00141767703462,0.429404497147,0.0127449188061,-0.022195980667,0.00313676399028
341971000000,579,341971000000,base_link,-0.0236013736576,-0.00262609892525,0.362427413464,-0.0362624914602,0.0104212805131,0.000518776170348
342007000000,580,342007000000,base_link,-0.0241913441569,-0.00466341804713,0.243423044682,-0.0862171962523,0.0530742505924,0.00501254239649
342039000000,581,342039000000,base_link,-0.0216070394963,-0.00464863097295,0.189336940646,-0.323296637745,0.268705803848,0.0127772982562
342071000000,582,342071000000,base_link,-0.0150555428118,0.00159533857368,0.17915391922,-0.475183054371,0.443724203626,0.0111120143059
342107000000,583,342107000000,base_link,-0.00290285004303,0.013721507974,0.192116826773,-0.450688706319,0.450746492466,0.0168248397904
342139000000,584,342139000000,base_link,0.0147094773129,0.0309926792979,0.211442708969,-0.551734805588,0.541086332962,0.0292550556514
342171000000,585,342171000000,base_link,0.0371772050858,0.0540381334722,0.225329235196,-0.546555427146,0.544593638528,0.0296163120647
342207000000,586,342207000000,base_link,0.07250662148,0.0888151973486,0.22772988677,-0.438271998601,0.493254542274,0.0232336339074
342239000000,587,342239000000,base_link,0.106296092272,0.121339999139,0.225266352296,-0.457256469384,0.477558182506,0.0354445195018
342271000000,588,342271000000,base_link,0.145330116153,0.157701089978,0.217960625887,-0.390745826161,0.407767354463,0.0484381943764
342307000000,589,342307000000,base_link,0.185816422105,0.195756286383,0.192902371287,-0.343603819775,0.349617942573,0.0585048385164
342339000000,590,342339000000,base_link,0.228497996926,0.234773293138,0.155506983399,-0.319822417259,0.250570900172,0.137049439261
342371000000,591,342371000000,base_link,0.275278657675,0.278349667788,0.128937602043,-0.296570962491,0.218269061619,0.218596500571
342407000000,592,342407000000,base_link,0.337511062622,0.336903691292,0.0906954184175,-0.265369245464,0.208435681659,0.243033366195
342439000000,593,342439000000,base_link,0.391012251377,0.387227594852,0.0629583746195,-0.170917980478,0.188451067634,0.282330303738
342471000000,594,342471000000,base_link,0.446146845818,0.440590977669,0.0444402433932,0.0646627134547,0.176194698031,0.268643359064
342507000000,595,342507000000,base_link,0.501210808754,0.492917925119,0.0246640052646,0.205055527223,0.170342698862,0.250516412367
342539000000,596,342539000000,base_link,0.556974411011,0.54273301363,0.00355920870788,0.396744499053,0.162862834409,0.240972418415
342571000000,597,342571000000,base_link,0.61291128397,0.588367044926,-0.0187288075686,0.353481006861,0.1472871875,0.263894273033
342607000000,598,342607000000,base_link,0.684865832329,0.641536235809,-0.0411645583808,0.346781841205,0.0895139936056,0.27684165687
342639000000,599,342639000000,base_link,0.744677305222,0.682662844658,-0.0587373450398,0.27713311802,0.140184752053,0.220247404341
342671000000,600,342671000000,base_link,0.806019842625,0.722450375557,-0.0660301819444,-0.0264825886173,0.258075222525,0.183225962827
342707000000,601,342707000000,base_link,0.868666172028,0.764236629009,-0.0675553008914,-0.111271688779,0.260946377782,0.177892321093
342739000000,602,342739000000,base_link,0.935786247253,0.809426784515,-0.0625836476684,-0.278147876953,0.295328760332,0.147003497186
342771000000,603,342771000000,base_link,1.00382757187,0.857065796852,-0.0596055462956,-0.284729080485,0.233502312835,0.132417064547
342807000000,604,342807000000,base_link,1.09026145935,0.921190679073,-0.0590472072363,-0.233706077349,0.160643261348,0.119477006063
342839000000,605,342839000000,base_link,1.16192018986,0.974762260914,-0.0560133829713,-0.259144917314,0.138157139435,0.114045337132
342871000000,606,342871000000,base_link,1.22951817513,1.02969133854,-0.0568832568824,-0.193946865562,0.0687602399527,0.0929814399218
342907000000,607,342907000000,base_link,1.29413700104,1.08547711372,-0.066091388464,-0.121025480573,0.0190890134531,0.0821943966083
342939000000,608,342939000000,base_link,1.35952758789,1.14009511471,-0.0788571983576,0.0932854488127,0.0428301118655,0.00773073119031
342971000000,609,342971000000,base_link,1.42413425446,1.1929397583,-0.0889540761709,0.404542238193,0.0832792768575,-0.0967396093397
343007000000,610,343007000000,base_link,1.50032925606,1.25101983547,-0.108281172812,0.564192305173,0.136879163525,-0.1555843665
343039000000,611,343039000000,base_link,1.56465709209,1.28879845142,-0.123677134514,0.806104214479,0.172230501669,-0.232719115156
343071000000,612,343071000000,base_link,1.63290667534,1.31877982616,-0.129498034716,0.850931021963,0.253599260287,-0.272207097859
343107000000,613,343107000000,base_link,1.70093250275,1.33978617191,-0.129298076034,0.764314791146,0.299975711611,-0.271413106459
343139000000,614,343139000000,base_link,1.77487933636,1.35383224487,-0.130276441574,0.439927899626,0.288933548956,-0.200622797016
343171000000,615,343171000000,base_link,1.85139226913,1.36352479458,-0.127184003592,0.01610501916,0.268038716264,-0.0881705306581
343207000000,616,343207000000,base_link,1.94567370415,1.37452042103,-0.122148886323,-0.113706717188,0.230580955987,-0.0526370093184
343239000000,617,343239000000,base_link,2.02390623093,1.38491427898,-0.11468205601,-0.203811533518,0.189483421664,-0.0238975708613
343271000000,618,343271000000,base_link,2.10465550423,1.3966101408,-0.109437465668,-0.153705343772,0.233923218053,-0.0245475339742
343307000000,619,343307000000,base_link,2.18317103386,1.40971899033,-0.105746053159,-0.103065619734,0.216030711305,-0.0228815721923
343339000000,620,343339000000,base_link,2.26350879669,1.42283260822,-0.101010918617,0.0230716443367,0.197324580167,-0.0545570975409
